KIC,B-V,prot,prot_err,ra,dec
5111207,0.41,5.42,1.05,19 40 09.01,40 12 16.7
5023899,0.42,4.81,0.44,19 40 55.90,40 10 04.7
5023760,0.43,4.78,0.10,19 40 49.33,40 09 07.0
5024227,0.43,5.06,0.39,19 41 09.49,40 11 41.6
5024122,0.45,6.36,1.04,19 41 05.50,40 08 28.4
5112499,0.46,4.44,0.92,19 41 13.91,40 15 30.3
5113601,0.46,7.01,0.65,19 42 00.18,40 12 19.2
5026583,0.49,4.90,,19 42 55.25,40 09 48.0
4938993,0.50,11.87,0.98, 19 42 55.85,40 00 19.8
5111834,0.57,13.89,1.46, 19 40 43.86,40 15 18.4
5111908,0.58,17.41,0.64, 19 40 43.86,40 12 53.2
5024856,0.62,18.19,,19 41 30.61,40 08 42.8
5024280,0.63,17.36,0.62,19 41 11.63,40 08 34.1
5112507,0.63,18.19,,19 41 14.09,40 17 34.7
5023796,0.64,18.30,0.19,19 40 51.10,40 09 45.1
5024008,0.65,18.40,1.19,19 41 00.51,40 10 29.4
5023724,0.66,18.00,0.91,19 40 47.50,40 07 40.3
5023875,0.67,18.33,0.94,19 40 54.82,40 09 20.5
5112268,0.68,18.70,0.25,19 41 04.25,40 14 23.2
4937169,0.70,19.62,,19 41 22.61,40 05 44.6
5025271,0.70,21.29,0.10,19 41 47.15,40 09 30.3
5111939,0.70,21.75,,19 40 49.63,40 12 05.2
5112871,0.71,21.25,2.85,19 41 26.64,40 16 01.4
5023666,0.73,21.54,1.83,19 40 44.23,40 10 11.6
5024182,0.75,21.29,,19 41 07.57,40 08 50.3
5023926,0.77,20.82,0.61,19 40 56.89,40 06 10.1
4937149,0.80,21.68,0.63,19 41 21.54,40 05 21.1
4936891,0.85,21.98,0.81,19 41 07.75,40 05 55.0
4937119,0.87,23.28,0.77,19 41 19.90,40 05 39.7
4937356,0.89,21.23,1.73,19 41 33.09,40 05 12.4
